pressure,t_equipartition,t_ideal,total_momentum_x,total_momentum_y,total_ke
2.72168e-23,36214.9,36863.3,-4.93152e-20,-1.00951e-19,8.4e-17
2.7007e-23,36214.9,36579.2,-4.93152e-20,-1.00951e-19,8.4e-17
2.71e-23,36214.9,36705.1,-4.93152e-20,-1.00951e-19,8.4e-17
2.71832e-23,36214.9,36817.8,-4.93152e-20,-1.00951e-19,8.4e-17
2.71094e-23,36214.9,36717.8,-4.93152e-20,-1.00951e-19,8.4e-17
2.70785e-23,36214.9,36676,-4.93152e-20,-1.00951e-19,8.4e-17
2.70112e-23,36214.9,36584.8,-4.93152e-20,-1.00951e-19,8.4e-17
2.72053e-23,36214.9,36847.8,-4.93152e-20,-1.00951e-19,8.4e-17
2.72852e-23,36214.9,36956,-4.93152e-20,-1.00951e-19,8.4e-17
2.71512e-23,36214.9,36774.5,-4.93152e-20,-1.00951e-19,8.4e-17
2.69168e-23,36214.9,36456.9,-4.93152e-20,-1.00951e-19,8.4e-17
2.70346e-23,36214.9,36616.6,-4.93152e-20,-1.00951e-19,8.4e-17
2.69556e-23,36214.9,36509.6,-4.93152e-20,-1.00951e-19,8.4e-17
2.67626e-23,36214.9,36248.1,-4.93152e-20,-1.00951e-19,8.4e-17
2.6692e-23,36214.9,36152.5,-4.93152e-20,-1.00951e-19,8.4e-17
2.66679e-23,36214.9,36119.8,-4.93152e-20,-1.00951e-19,8.4e-17
2.67021e-23,36214.9,36166.2,-4.93152e-20,-1.00951e-19,8.4e-17
2.69133e-23,36214.9,36452.3,-4.93152e-20,-1.00951e-19,8.4e-17
2.67566e-23,36214.9,36239.9,-4.93152e-20,-1.00951e-19,8.4e-17
2.69623e-23,36214.9,36518.6,-4.93152e-20,-1.00951e-19,8.4e-17
2.71099e-23,36214.9,36718.6,-4.93152e-20,-1.00951e-19,8.4e-17
2.69541e-23,36214.9,36507.4,-4.93152e-20,-1.00951e-19,8.4e-17
2.71438e-23,36214.9,36764.4,-4.93152e-20,-1.00951e-19,8.4e-17
2.69966e-23,36214.9,36565,-4.93152e-20,-1.00951e-19,8.4e-17
2.70969e-23,36214.9,36700.9,-4.93152e-20,-1.00951e-19,8.4e-17
2.73482e-23,36214.9,37041.3,-4.93152e-20,-1.00951e-19,8.4e-17
2.74793e-23,36214.9,37218.8,-4.93152e-20,-1.00951e-19,8.4e-17
2.75925e-23,36214.9,37372.2,-4.93152e-20,-1.00951e-19,8.4e-17
2.73838e-23,36214.9,37089.5,-4.93152e-20,-1.00951e-19,8.4e-17
2.72676e-23,36214.9,36932.1,-4.93152e-20,-1.00951e-19,8.4e-17
2.70462e-23,36214.9,36632.2,-4.93152e-20,-1.00951e-19,8.4e-17
2.69988e-23,36214.9,36568.1,-4.93152e-20,-1.00951e-19,8.4e-17
2.70171e-23,36214.9,36592.9,-4.93152e-20,-1.00951e-19,8.4e-17
2.71187e-23,36214.9,36730.5,-4.93152e-20,-1.00951e-19,8.4e-17
2.70475e-23,36214.9,36634,-4.93152e-20,-1.00951e-19,8.4e-17
2.70694e-23,36214.9,36663.6,-4.93152e-20,-1.00951e-19,8.4e-17
2.70758e-23,36214.9,36672.3,-4.93152e-20,-1.00951e-19,8.4e-17
2.70848e-23,36214.9,36684.6,-4.93152e-20,-1.00951e-19,8.4e-17
2.69759e-23,36214.9,36537,-4.93152e-20,-1.00951e-19,8.4e-17
2.69969e-23,36214.9,36565.5,-4.93152e-20,-1.00951e-19,8.4e-17
2.70715e-23,36214.9,36666.5,-4.93152e-20,-1.00951e-19,8.4e-17
2.70871e-23,36214.9,36687.7,-4.93152e-20,-1.00951e-19,8.4e-17
2.7182e-23,36214.9,36816.2,-4.93152e-20,-1.00951e-19,8.4e-17
2.70972e-23,36214.9,36701.3,-4.93152e-20,-1.00951e-19,8.4e-17
2.71358e-23,36214.9,36753.7,-4.93152e-20,-1.00951e-19,8.4e-17
2.71221e-23,36214.9,36735,-4.93152e-20,-1.00951e-19,8.4e-17
2.70878e-23,36214.9,36688.7,-4.93152e-20,-1.00951e-19,8.4e-17
2.70352e-23,36214.9,36617.4,-4.93152e-20,-1.00951e-19,8.4e-17
2.70414e-23,36214.9,36625.7,-4.93152e-20,-1.00951e-19,8.4e-17
2.70293e-23,36214.9,36609.3,-4.93152e-20,-1.00951e-19,8.4e-17
2.70299e-23,36214.9,36610.2,-4.93152e-20,-1.00951e-19,8.4e-17
2.70881e-23,36214.9,36689,-4.93152e-20,-1.00951e-19,8.4e-17
2.70564e-23,36214.9,36646.1,-4.93152e-20,-1.00951e-19,8.4e-17
2.70021e-23,36214.9,36572.6,-4.93152e-20,-1.00951e-19,8.4e-17
2.7078e-23,36214.9,36675.4,-4.93152e-20,-1.00951e-19,8.4e-17
2.70457e-23,36214.9,36631.6,-4.93152e-20,-1.00951e-19,8.4e-17
2.71384e-23,36214.9,36757.1,-4.93152e-20,-1.00951e-19,8.4e-17
2.72491e-23,36214.9,36907.1,-4.93152e-20,-1.00951e-19,8.4e-17
2.72954e-23,36214.9,36969.8,-4.93152e-20,-1.00951e-19,8.4e-17
2.71597e-23,36214.9,36785.9,-4.93152e-20,-1.00951e-19,8.4e-17
2.70994e-23,36214.9,36704.3,-4.93152e-20,-1.00951e-19,8.4e-17
2.69671e-23,36214.9,36525.1,-4.93152e-20,-1.00951e-19,8.4e-17
2.68828e-23,36214.9,36410.9,-4.93152e-20,-1.00951e-19,8.4e-17
2.69218e-23,36214.9,36463.7,-4.93152e-20,-1.00951e-19,8.4e-17
2.70556e-23,36214.9,36645,-4.93152e-20,-1.00951e-19,8.4e-17
2.70403e-23,36214.9,36624.2,-4.93152e-20,-1.00951e-19,8.4e-17
2.69947e-23,36214.9,36562.5,-4.93152e-20,-1.00951e-19,8.4e-17
2.70057e-23,36214.9,36577.4,-4.93152e-20,-1.00951e-19,8.4e-17
2.69558e-23,36214.9,36509.8,-4.93152e-20,-1.00951e-19,8.4e-17
2.70887e-23,36214.9,36689.7,-4.93152e-20,-1.00951e-19,8.4e-17
2.72174e-23,36214.9,36864.1,-4.93152e-20,-1.00951e-19,8.4e-17
2.71035e-23,36214.9,36709.8,-4.93152e-20,-1.00951e-19,8.4e-17
2.72207e-23,36214.9,36868.5,-4.93152e-20,-1.00951e-19,8.4e-17
2.71656e-23,36214.9,36794,-4.93152e-20,-1.00951e-19,8.4e-17
2.70464e-23,36214.9,36632.5,-4.93152e-20,-1.00951e-19,8.4e-17
2.71781e-23,36214.9,36810.9,-4.93152e-20,-1.00951e-19,8.4e-17
2.71514e-23,36214.9,36774.7,-4.93152e-20,-1.00951e-19,8.4e-17
2.71717e-23,36214.9,36802.2,-4.93152e-20,-1.00951e-19,8.4e-17
2.71786e-23,36214.9,36811.5,-4.93152e-20,-1.00951e-19,8.4e-17
2.7143e-23,36214.9,36763.4,-4.93152e-20,-1.00951e-19,8.4e-17
2.70966e-23,36214.9,36700.5,-4.93152e-20,-1.00951e-19,8.4e-17
2.70826e-23,36214.9,36681.5,-4.93152e-20,-1.00951e-19,8.4e-17
2.70855e-23,36214.9,36685.4,-4.93152e-20,-1.00951e-19,8.4e-17
2.71117e-23,36214.9,36721,-4.93152e-20,-1.00951e-19,8.4e-17
2.71098e-23,36214.9,36718.5,-4.93152e-20,-1.00951e-19,8.4e-17
2.71154e-23,36214.9,36726,-4.93152e-20,-1.00951e-19,8.4e-17
2.71856e-23,36214.9,36821,-4.93152e-20,-1.00951e-19,8.4e-17
2.70459e-23,36214.9,36631.9,-4.93152e-20,-1.00951e-19,8.4e-17
2.71267e-23,36214.9,36741.3,-4.93152e-20,-1.00951e-19,8.4e-17
2.71216e-23,36214.9,36734.4,-4.93152e-20,-1.00951e-19,8.4e-17
2.70951e-23,36214.9,36698.5,-4.93152e-20,-1.00951e-19,8.4e-17
2.70485e-23,36214.9,36635.3,-4.93152e-20,-1.00951e-19,8.4e-17
2.68976e-23,36214.9,36431,-4.93152e-20,-1.00951e-19,8.4e-17
2.69889e-23,36214.9,36554.6,-4.93152e-20,-1.00951e-19,8.4e-17
2.68769e-23,36214.9,36402.9,-4.93152e-20,-1.00951e-19,8.4e-17
2.69463e-23,36214.9,36496.9,-4.93152e-20,-1.00951e-19,8.4e-17
2.70272e-23,36214.9,36606.5,-4.93152e-20,-1.00951e-19,8.4e-17
2.69755e-23,36214.9,36536.5,-4.93152e-20,-1.00951e-19,8.4e-17
2.6959e-23,36214.9,36514.1,-4.93152e-20,-1.00951e-19,8.4e-17
2.6861e-23,36214.9,36381.4,-4.93152e-20,-1.00951e-19,8.4e-17
2.68956e-23,36214.9,36428.2,-4.93152e-20,-1.00951e-19,8.4e-17
2.7027e-23,36214.9,36606.3,-4.93152e-20,-1.00951e-19,8.4e-17
2.69665e-23,36214.9,36524.4,-4.93152e-20,-1.00951e-19,8.4e-17
2.70833e-23,36214.9,36682.6,-4.93152e-20,-1.00951e-19,8.4e-17
2.70236e-23,36214.9,36601.6,-4.93152e-20,-1.00951e-19,8.4e-17
2.70409e-23,36214.9,36625.1,-4.93152e-20,-1.00951e-19,8.4e-17
2.70955e-23,36214.9,36699.1,-4.93152e-20,-1.00951e-19,8.4e-17
2.70403e-23,36214.9,36624.3,-4.93152e-20,-1.00951e-19,8.4e-17
2.71248e-23,36214.9,36738.7,-4.93152e-20,-1.00951e-19,8.4e-17
2.70098e-23,36214.9,36582.9,-4.93152e-20,-1.00951e-19,8.4e-17
2.71388e-23,36214.9,36757.7,-4.93152e-20,-1.00951e-19,8.4e-17
