[0,0]
[0,0]
[0,0]
[-4.78573e-29,-2.97515e-29]
[6.19669e-28,-1.75395e-27]
[-1.98781e-28,-1.74851e-27]
[-1.3967e-27,-1.67437e-27]
[-4.46495e-27,-3.63463e-27]
[-7.37194e-27,-7.15076e-27]
[-1.00566e-26,-1.18655e-26]
[-1.26515e-26,-1.7835e-26]
[-1.6232e-26,-2.64235e-26]
[-2.27462e-26,-3.61876e-26]
[-3.03201e-26,-4.51814e-26]
[-3.83596e-26,-5.34312e-26]
[-4.5686e-26,-6.1524e-26]
[-5.30059e-26,-6.91405e-26]
[-5.76439e-26,-7.5451e-26]
[-5.93928e-26,-8.14293e-26]
[-6.26115e-26,-8.72333e-26]
[-6.53899e-26,-9.12484e-26]
[-6.78013e-26,-9.4264e-26]
[-6.98766e-26,-9.69041e-26]
[-7.23081e-26,-1.00254e-25]
[-7.48514e-26,-1.03221e-25]
[-8.00592e-26,-1.06601e-25]
[-8.67721e-26,-1.10191e-25]
[-9.37326e-26,-1.15528e-25]
[-9.89666e-26,-1.23748e-25]
[-1.01836e-25,-1.31733e-25]
[-1.06299e-25,-1.38135e-25]
[-1.098e-25,-1.4463e-25]
[-1.14758e-25,-1.53215e-25]
[-1.19351e-25,-1.62449e-25]
[-1.24171e-25,-1.72535e-25]
[-1.2875e-25,-1.83831e-25]
[-1.33167e-25,-1.94828e-25]
[-1.36346e-25,-2.05057e-25]
[-1.37825e-25,-2.12419e-25]
[-1.38848e-25,-2.19658e-25]
[-1.39886e-25,-2.24967e-25]
[-1.39668e-25,-2.30344e-25]
[-1.38976e-25,-2.36367e-25]
[-1.3763e-25,-2.41552e-25]
[-1.36806e-25,-2.4686e-25]
[-1.37519e-25,-2.5141e-25]
[-1.37996e-25,-2.56443e-25]
[-1.3567e-25,-2.61596e-25]
[-1.33574e-25,-2.6617e-25]
[-1.33497e-25,-2.72719e-25]
[-1.35547e-25,-2.76406e-25]
[-1.35344e-25,-2.78301e-25]
[-1.34916e-25,-2.80046e-25]
[-1.33073e-25,-2.81508e-25]
[-1.31785e-25,-2.84125e-25]
[-1.29428e-25,-2.86781e-25]
[-1.28107e-25,-2.88837e-25]
[-1.28498e-25,-2.88992e-25]
[-1.27984e-25,-2.88719e-25]
[-1.28832e-25,-2.88453e-25]
[-1.2978e-25,-2.86472e-25]
[-1.29343e-25,-2.84477e-25]
[-1.28957e-25,-2.8484e-25]
[-1.29529e-25,-2.86712e-25]
[-1.30992e-25,-2.87198e-25]
[-1.31026e-25,-2.86091e-25]
[-1.31039e-25,-2.85122e-25]
[-1.30577e-25,-2.82718e-25]
[-1.29987e-25,-2.80296e-25]
[-1.30284e-25,-2.79845e-25]
