pressure,t_equipartition,t_ideal,total_momentum_x,total_momentum_y,total_ke
0,36214.9,0,5.80359e-20,-1.23579e-19,8.4e-17
0,36214.9,0,5.80359e-20,-1.23579e-19,8.4e-17
0,36214.9,0,5.80359e-20,-1.23579e-19,8.4e-17
0,36214.9,0,5.80359e-20,-1.23579e-19,8.4e-17
7.44257e-24,36214.9,10080.5,5.80359e-20,-1.23579e-19,8.4e-17
1.20203e-23,36214.9,16280.7,5.80359e-20,-1.23579e-19,8.4e-17
1.76646e-23,36214.9,23925.6,5.80359e-20,-1.23579e-19,8.4e-17
1.82164e-23,36214.9,24672.9,5.80359e-20,-1.23579e-19,8.4e-17
1.66433e-23,36214.9,22542.3,5.80359e-20,-1.23579e-19,8.4e-17
1.89737e-23,36214.9,25698.6,5.80359e-20,-1.23579e-19,8.4e-17
2.10497e-23,36214.9,28510.3,5.80359e-20,-1.23579e-19,8.4e-17
2.21087e-23,36214.9,29944.7,5.80359e-20,-1.23579e-19,8.4e-17
2.26152e-23,36214.9,30630.8,5.80359e-20,-1.23579e-19,8.4e-17
2.26698e-23,36214.9,30704.8,5.80359e-20,-1.23579e-19,8.4e-17
2.3081e-23,36214.9,31261.6,5.80359e-20,-1.23579e-19,8.4e-17
2.3627e-23,36214.9,32001.1,5.80359e-20,-1.23579e-19,8.4e-17
2.50636e-23,36214.9,33947,5.80359e-20,-1.23579e-19,8.4e-17
2.57869e-23,36214.9,34926.6,5.80359e-20,-1.23579e-19,8.4e-17
2.56295e-23,36214.9,34713.5,5.80359e-20,-1.23579e-19,8.4e-17
2.60382e-23,36214.9,35267,5.80359e-20,-1.23579e-19,8.4e-17
2.64417e-23,36214.9,35813.5,5.80359e-20,-1.23579e-19,8.4e-17
2.69168e-23,36214.9,36457,5.80359e-20,-1.23579e-19,8.4e-17
2.71126e-23,36214.9,36722.2,5.80359e-20,-1.23579e-19,8.4e-17
2.6694e-23,36214.9,36155.1,5.80359e-20,-1.23579e-19,8.4e-17
2.63163e-23,36214.9,35643.7,5.80359e-20,-1.23579e-19,8.4e-17
2.70073e-23,36214.9,36579.5,5.80359e-20,-1.23579e-19,8.4e-17
2.72908e-23,36214.9,36963.6,5.80359e-20,-1.23579e-19,8.4e-17
2.74615e-23,36214.9,37194.7,5.80359e-20,-1.23579e-19,8.4e-17
2.71741e-23,36214.9,36805.5,5.80359e-20,-1.23579e-19,8.4e-17
