[0,0]
[0,0]
[0,0]
[0,0]
[1.36827e-28,2.37763e-27]
[-3.65755e-27,3.12124e-27]
[2.11429e-27,1.13656e-27]
[3.78835e-27,1.81568e-27]
[5.06311e-27,1.7873e-27]
[9.91278e-27,8.31256e-28]
[8.98048e-27,1.85956e-27]
[6.43112e-27,1.40596e-27]
[7.51706e-27,-1.73008e-27]
[7.52146e-27,-1.44575e-27]
[1.28381e-27,-3.62817e-28]
[5.06294e-27,2.44417e-27]
[-4.70386e-28,-4.05658e-27]
[-1.04969e-27,-7.7825e-27]
[-2.28227e-27,-1.33889e-26]
[-3.45959e-27,-1.1793e-26]
[2.51238e-27,-1.23326e-26]
[5.30628e-27,-1.6595e-26]
[5.42707e-27,-1.60217e-26]
[5.27843e-27,-1.5647e-26]
[4.68732e-27,-1.71988e-26]
[6.16237e-27,-2.081e-26]
[1.07784e-26,-2.91345e-26]
[9.10203e-27,-2.76121e-26]
[9.46113e-27,-2.71062e-26]
[7.2275e-27,-2.44735e-26]
[8.98231e-27,-2.51426e-26]
[4.30451e-27,-2.8454e-26]
[4.19622e-27,-2.68604e-26]
[6.41439e-27,-2.22151e-26]
[6.0402e-27,-2.20962e-26]
[8.08454e-27,-2.22835e-26]
[1.15666e-26,-1.86821e-26]
[1.13433e-26,-1.92019e-26]
[1.00062e-26,-1.70253e-26]
[1.08613e-26,-1.93236e-26]
[1.10494e-26,-1.71079e-26]
[1.13402e-26,-1.49234e-26]
[1.56648e-26,-1.70769e-26]
[1.54648e-26,-1.75465e-26]
[1.59112e-26,-2.0925e-26]
[1.32503e-26,-1.8193e-26]
[1.07475e-26,-1.47811e-26]
[1.08168e-26,-1.64238e-26]
[1.61828e-26,-1.82828e-26]
[1.60197e-26,-1.90958e-26]
[1.12489e-26,-2.00789e-26]
[7.82367e-27,-2.26548e-26]
[9.85434e-27,-2.56886e-26]
[9.16834e-27,-2.49814e-26]
[1.31098e-26,-2.63485e-26]
[1.19089e-26,-2.29302e-26]
[7.05576e-27,-2.00875e-26]
[8.18923e-27,-1.92739e-26]
[9.20852e-27,-1.67046e-26]
[5.68138e-27,-1.77129e-26]
[2.11807e-27,-2.12163e-26]
[-1.02034e-27,-1.46418e-26]
[-4.97037e-27,-1.28358e-26]
[-6.76286e-27,-1.24025e-26]
[-4.35496e-27,-1.19566e-26]
[-3.46922e-27,-1.38222e-26]
[-8.9778e-28,-1.40589e-26]
[-2.6633e-27,-1.28967e-26]
[-2.58407e-28,-1.1636e-26]
[4.59047e-28,-1.2266e-26]
[-1.34963e-27,-1.62539e-26]
[2.19444e-27,-1.47475e-26]
[2.58976e-27,-1.55937e-26]
[3.58901e-27,-1.62544e-26]
[7.47777e-27,-1.22283e-26]
[9.40494e-27,-1.72041e-26]
[8.04314e-27,-1.15049e-26]
[8.02503e-27,-1.37018e-26]
[7.93563e-27,-1.15692e-26]
[7.35069e-27,-1.60114e-26]
[3.93025e-27,-1.33534e-26]
[5.01145e-27,-1.4343e-26]
[1.19018e-27,-1.35713e-26]
[2.31811e-28,-1.47328e-26]
[-1.83715e-27,-1.23449e-26]
[2.31874e-27,-1.31611e-26]
[-1.75875e-27,-1.77031e-26]
[-1.51492e-27,-1.62772e-26]
[-6.62559e-27,-1.49734e-26]
[-1.23357e-27,-1.26725e-26]
[-5.60209e-27,-1.06426e-26]
[-4.78041e-27,-1.06612e-26]
[-4.17077e-27,-1.02707e-26]
[-4.26151e-27,-6.51001e-27]
[-6.14175e-27,-5.87212e-27]
[-3.71427e-27,-2.76593e-27]
[-2.28171e-27,4.09292e-27]
[-3.12308e-27,1.44471e-27]
[3.8031e-28,-1.01838e-27]
[3.64052e-27,4.61954e-27]
[7.59935e-27,-1.34678e-27]
[3.83634e-27,-9.68228e-28]
[3.78524e-27,-3.1221e-27]
[8.73832e-27,-3.07068e-27]
[4.71857e-27,-2.80235e-27]
[5.48407e-27,-1.71508e-27]
[1.71915e-27,-8.54708e-28]
[2.48928e-28,-5.63259e-28]
[-4.63094e-27,-1.98224e-27]
[1.13771e-27,-6.63581e-27]
[-3.55638e-30,-5.16452e-27]
[2.71175e-27,-5.58318e-27]
[3.02649e-27,-4.97125e-27]
[4.15604e-27,-3.73095e-27]
[7.12458e-27,-1.67335e-27]
[1.11231e-26,-4.40985e-27]
[1.11231e-26,-4.40985e-27]
[6.41506e-27,-2.69845e-27]
[8.0695e-27,-3.40504e-27]
[5.37119e-27,-2.23585e-27]
[2.5996e-27,-8.80885e-27]
[2.53849e-27,-8.02571e-27]
[5.22443e-27,-9.75852e-27]
[4.64517e-27,-1.09645e-26]
[1.03476e-26,-8.36457e-27]
[1.08232e-26,-3.95399e-27]
[1.32368e-26,-6.74248e-27]
[1.42659e-26,-9.33745e-27]
[1.44556e-26,-1.24561e-26]
[1.88273e-26,-9.56592e-27]
[2.35506e-26,-9.95167e-27]
[2.39454e-26,-6.78128e-27]
[2.72643e-26,-1.00381e-26]
[2.47869e-26,-1.64025e-26]
[2.50684e-26,-2.17863e-26]
[2.15485e-26,-2.05624e-26]
[2.32455e-26,-2.3592e-26]
[2.88323e-26,-2.82551e-26]
[2.49763e-26,-2.9912e-26]
[2.65604e-26,-3.07003e-26]
[2.81889e-26,-2.7499e-26]
[2.83961e-26,-2.6073e-26]
[2.28178e-26,-2.59284e-26]
[2.1288e-26,-2.37642e-26]
[1.76108e-26,-2.17145e-26]
[1.57523e-26,-2.32341e-26]
[1.36024e-26,-1.77618e-26]
[1.39283e-26,-1.90235e-26]
[1.08454e-26,-1.99773e-26]
