pressure,t_equipartition,t_ideal,total_momentum_x,total_momentum_y,total_ke
0,36214.9,0,6.15143e-20,8.57839e-20,8.4e-17
0,36214.9,0,6.15143e-20,8.57839e-20,8.4e-17
0,36214.9,0,6.15143e-20,8.57839e-20,8.4e-17
1.00882e-27,36214.9,1.36637,6.15143e-20,8.57839e-20,8.4e-17
2.67601e-27,36214.9,3.62447,6.15143e-20,8.57839e-20,8.4e-17
3.43627e-27,36214.9,4.6542,6.15143e-20,8.57839e-20,8.4e-17
4.63057e-27,36214.9,6.2718,6.15143e-20,8.57839e-20,8.4e-17
5.95994e-27,36214.9,8.07234,6.15143e-20,8.57839e-20,8.4e-17
6.84398e-27,36214.9,9.26971,6.15143e-20,8.57839e-20,8.4e-17
8.19706e-27,36214.9,11.1024,6.15143e-20,8.57839e-20,8.4e-17
8.80013e-27,36214.9,11.9192,6.15143e-20,8.57839e-20,8.4e-17
9.49659e-27,36214.9,12.8625,6.15143e-20,8.57839e-20,8.4e-17
1.01073e-26,36214.9,13.6896,6.15143e-20,8.57839e-20,8.4e-17
1.10724e-26,36214.9,14.9969,6.15143e-20,8.57839e-20,8.4e-17
1.17606e-26,36214.9,15.9289,6.15143e-20,8.57839e-20,8.4e-17
1.2597e-26,36214.9,17.0618,6.15143e-20,8.57839e-20,8.4e-17
1.28902e-26,36214.9,17.459,6.15143e-20,8.57839e-20,8.4e-17
1.38463e-26,36214.9,18.7538,6.15143e-20,8.57839e-20,8.4e-17
1.48703e-26,36214.9,20.1408,6.15143e-20,8.57839e-20,8.4e-17
1.5563e-26,36214.9,21.079,6.15143e-20,8.57839e-20,8.4e-17
1.63958e-26,36214.9,22.207,6.15143e-20,8.57839e-20,8.4e-17
1.68789e-26,36214.9,22.8614,6.15143e-20,8.57839e-20,8.4e-17
1.74388e-26,36214.9,23.6196,6.15143e-20,8.57839e-20,8.4e-17
1.87862e-26,36214.9,25.4446,6.15143e-20,8.57839e-20,8.4e-17
1.91645e-26,36214.9,25.957,6.15143e-20,8.57839e-20,8.4e-17
2.04846e-26,36214.9,27.7449,6.15143e-20,8.57839e-20,8.4e-17
2.13301e-26,36214.9,28.8902,6.15143e-20,8.57839e-20,8.4e-17
2.17149e-26,36214.9,29.4114,6.15143e-20,8.57839e-20,8.4e-17
2.27126e-26,36214.9,30.7626,6.15143e-20,8.57839e-20,8.4e-17
2.3296e-26,36214.9,31.5529,6.15143e-20,8.57839e-20,8.4e-17
2.34154e-26,36214.9,31.7146,6.15143e-20,8.57839e-20,8.4e-17
2.47433e-26,36214.9,33.5131,6.15143e-20,8.57839e-20,8.4e-17
2.50221e-26,36214.9,33.8908,6.15143e-20,8.57839e-20,8.4e-17
2.55917e-26,36214.9,34.6622,6.15143e-20,8.57839e-20,8.4e-17
2.6728e-26,36214.9,36.2013,6.15143e-20,8.57839e-20,8.4e-17
2.75555e-26,36214.9,37.3221,6.15143e-20,8.57839e-20,8.4e-17
2.80243e-26,36214.9,37.957,6.15143e-20,8.57839e-20,8.4e-17
2.87363e-26,36214.9,38.9213,6.15143e-20,8.57839e-20,8.4e-17
2.92696e-26,36214.9,39.6437,6.15143e-20,8.57839e-20,8.4e-17
2.96658e-26,36214.9,40.1803,6.15143e-20,8.57839e-20,8.4e-17
3.0353e-26,36214.9,41.1111,6.15143e-20,8.57839e-20,8.4e-17
3.12461e-26,36214.9,42.3208,6.15143e-20,8.57839e-20,8.4e-17
3.2039e-26,36214.9,43.3947,6.15143e-20,8.57839e-20,8.4e-17
3.27339e-26,36214.9,44.3359,6.15143e-20,8.57839e-20,8.4e-17
3.32921e-26,36214.9,45.0919,6.15143e-20,8.57839e-20,8.4e-17
3.46809e-26,36214.9,46.9729,6.15143e-20,8.57839e-20,8.4e-17
3.51473e-26,36214.9,47.6046,6.15143e-20,8.57839e-20,8.4e-17
3.61941e-26,36214.9,49.0224,6.15143e-20,8.57839e-20,8.4e-17
3.74117e-26,36214.9,50.6716,6.15143e-20,8.57839e-20,8.4e-17
3.7758e-26,36214.9,51.1407,6.15143e-20,8.57839e-20,8.4e-17
3.81942e-26,36214.9,51.7314,6.15143e-20,8.57839e-20,8.4e-17
3.8606e-26,36214.9,52.2893,6.15143e-20,8.57839e-20,8.4e-17
3.90471e-26,36214.9,52.8866,6.15143e-20,8.57839e-20,8.4e-17
3.98109e-26,36214.9,53.9211,6.15143e-20,8.57839e-20,8.4e-17
4.11457e-26,36214.9,55.7291,6.15143e-20,8.57839e-20,8.4e-17
4.24606e-26,36214.9,57.51,6.15143e-20,8.57839e-20,8.4e-17
4.31474e-26,36214.9,58.4402,6.15143e-20,8.57839e-20,8.4e-17
4.36711e-26,36214.9,59.1495,6.15143e-20,8.57839e-20,8.4e-17
4.44364e-26,36214.9,60.1861,6.15143e-20,8.57839e-20,8.4e-17
4.50537e-26,36214.9,61.0222,6.15143e-20,8.57839e-20,8.4e-17
4.5528e-26,36214.9,61.6646,6.15143e-20,8.57839e-20,8.4e-17
4.59324e-26,36214.9,62.2124,6.15143e-20,8.57839e-20,8.4e-17
4.66813e-26,36214.9,63.2266,6.15143e-20,8.57839e-20,8.4e-17
4.72123e-26,36214.9,63.9459,6.15143e-20,8.57839e-20,8.4e-17
4.7951e-26,36214.9,64.9464,6.15143e-20,8.57839e-20,8.4e-17
4.83534e-26,36214.9,65.4913,6.15143e-20,8.57839e-20,8.4e-17
4.92114e-26,36214.9,66.6535,6.15143e-20,8.57839e-20,8.4e-17
4.97031e-26,36214.9,67.3194,6.15143e-20,8.57839e-20,8.4e-17
5.03341e-26,36214.9,68.1741,6.15143e-20,8.57839e-20,8.4e-17
5.08617e-26,36214.9,68.8887,6.15143e-20,8.57839e-20,8.4e-17
5.20746e-26,36214.9,70.5315,6.15143e-20,8.57839e-20,8.4e-17
