pressure,t_equipartition,t_ideal,total_momentum_x,total_momentum_y,total_ke
0,36214.9,0,-4.14605e-20,4.83355e-20,8.4e-17
0,36214.9,0,-4.14605e-20,4.83355e-20,8.4e-17
0,36214.9,0,-4.14605e-20,4.83355e-20,8.4e-17
8.90128e-28,36214.9,1.20562,-4.14605e-20,4.83355e-20,8.4e-17
1.4757e-27,36214.9,1.99874,-4.14605e-20,4.83355e-20,8.4e-17
2.2415e-27,36214.9,3.03596,-4.14605e-20,4.83355e-20,8.4e-17
2.95502e-27,36214.9,4.00238,-4.14605e-20,4.83355e-20,8.4e-17
3.50559e-27,36214.9,4.74808,-4.14605e-20,4.83355e-20,8.4e-17
3.71257e-27,36214.9,5.02842,-4.14605e-20,4.83355e-20,8.4e-17
4.3438e-27,36214.9,5.88339,-4.14605e-20,4.83355e-20,8.4e-17
4.61726e-27,36214.9,6.25377,-4.14605e-20,4.83355e-20,8.4e-17
5.25279e-27,36214.9,7.11455,-4.14605e-20,4.83355e-20,8.4e-17
5.74216e-27,36214.9,7.77737,-4.14605e-20,4.83355e-20,8.4e-17
6.24072e-27,36214.9,8.45263,-4.14605e-20,4.83355e-20,8.4e-17
6.94723e-27,36214.9,9.40955,-4.14605e-20,4.83355e-20,8.4e-17
7.39224e-27,36214.9,10.0123,-4.14605e-20,4.83355e-20,8.4e-17
8.20476e-27,36214.9,11.1128,-4.14605e-20,4.83355e-20,8.4e-17
8.77997e-27,36214.9,11.8919,-4.14605e-20,4.83355e-20,8.4e-17
9.12059e-27,36214.9,12.3532,-4.14605e-20,4.83355e-20,8.4e-17
9.79556e-27,36214.9,13.2674,-4.14605e-20,4.83355e-20,8.4e-17
1.02024e-26,36214.9,13.8185,-4.14605e-20,4.83355e-20,8.4e-17
1.07012e-26,36214.9,14.4941,-4.14605e-20,4.83355e-20,8.4e-17
1.16093e-26,36214.9,15.724,-4.14605e-20,4.83355e-20,8.4e-17
1.20582e-26,36214.9,16.332,-4.14605e-20,4.83355e-20,8.4e-17
1.27517e-26,36214.9,17.2713,-4.14605e-20,4.83355e-20,8.4e-17
1.33944e-26,36214.9,18.1417,-4.14605e-20,4.83355e-20,8.4e-17
1.36348e-26,36214.9,18.4675,-4.14605e-20,4.83355e-20,8.4e-17
1.41147e-26,36214.9,19.1174,-4.14605e-20,4.83355e-20,8.4e-17
1.47946e-26,36214.9,20.0383,-4.14605e-20,4.83355e-20,8.4e-17
1.50662e-26,36214.9,20.4062,-4.14605e-20,4.83355e-20,8.4e-17
1.53957e-26,36214.9,20.8525,-4.14605e-20,4.83355e-20,8.4e-17
1.60467e-26,36214.9,21.7342,-4.14605e-20,4.83355e-20,8.4e-17
1.65132e-26,36214.9,22.366,-4.14605e-20,4.83355e-20,8.4e-17
1.72169e-26,36214.9,23.3192,-4.14605e-20,4.83355e-20,8.4e-17
1.83383e-26,36214.9,24.838,-4.14605e-20,4.83355e-20,8.4e-17
1.86912e-26,36214.9,25.316,-4.14605e-20,4.83355e-20,8.4e-17
1.9063e-26,36214.9,25.8195,-4.14605e-20,4.83355e-20,8.4e-17
1.96966e-26,36214.9,26.6777,-4.14605e-20,4.83355e-20,8.4e-17
2.04118e-26,36214.9,27.6465,-4.14605e-20,4.83355e-20,8.4e-17
2.09521e-26,36214.9,28.3782,-4.14605e-20,4.83355e-20,8.4e-17
2.13443e-26,36214.9,28.9094,-4.14605e-20,4.83355e-20,8.4e-17
2.14554e-26,36214.9,29.0599,-4.14605e-20,4.83355e-20,8.4e-17
2.19796e-26,36214.9,29.7698,-4.14605e-20,4.83355e-20,8.4e-17
2.26502e-26,36214.9,30.6781,-4.14605e-20,4.83355e-20,8.4e-17
2.31703e-26,36214.9,31.3827,-4.14605e-20,4.83355e-20,8.4e-17
2.37281e-26,36214.9,32.1381,-4.14605e-20,4.83355e-20,8.4e-17
2.40678e-26,36214.9,32.5983,-4.14605e-20,4.83355e-20,8.4e-17
2.46746e-26,36214.9,33.4201,-4.14605e-20,4.83355e-20,8.4e-17
2.50986e-26,36214.9,33.9944,-4.14605e-20,4.83355e-20,8.4e-17
2.54299e-26,36214.9,34.4431,-4.14605e-20,4.83355e-20,8.4e-17
2.57571e-26,36214.9,34.8862,-4.14605e-20,4.83355e-20,8.4e-17
2.60943e-26,36214.9,35.343,-4.14605e-20,4.83355e-20,8.4e-17
2.65968e-26,36214.9,36.0236,-4.14605e-20,4.83355e-20,8.4e-17
2.72944e-26,36214.9,36.9685,-4.14605e-20,4.83355e-20,8.4e-17
2.79827e-26,36214.9,37.9006,-4.14605e-20,4.83355e-20,8.4e-17
2.88122e-26,36214.9,39.0241,-4.14605e-20,4.83355e-20,8.4e-17
2.93421e-26,36214.9,39.7419,-4.14605e-20,4.83355e-20,8.4e-17
3.01448e-26,36214.9,40.8291,-4.14605e-20,4.83355e-20,8.4e-17
3.07483e-26,36214.9,41.6465,-4.14605e-20,4.83355e-20,8.4e-17
3.12448e-26,36214.9,42.319,-4.14605e-20,4.83355e-20,8.4e-17
3.23651e-26,36214.9,43.8363,-4.14605e-20,4.83355e-20,8.4e-17
3.29227e-26,36214.9,44.5916,-4.14605e-20,4.83355e-20,8.4e-17
3.3201e-26,36214.9,44.9685,-4.14605e-20,4.83355e-20,8.4e-17
3.33616e-26,36214.9,45.186,-4.14605e-20,4.83355e-20,8.4e-17
3.37539e-26,36214.9,45.7174,-4.14605e-20,4.83355e-20,8.4e-17
3.40097e-26,36214.9,46.0638,-4.14605e-20,4.83355e-20,8.4e-17
3.44118e-26,36214.9,46.6084,-4.14605e-20,4.83355e-20,8.4e-17
3.50848e-26,36214.9,47.52,-4.14605e-20,4.83355e-20,8.4e-17
3.58097e-26,36214.9,48.5019,-4.14605e-20,4.83355e-20,8.4e-17
3.68395e-26,36214.9,49.8966,-4.14605e-20,4.83355e-20,8.4e-17
3.69453e-26,36214.9,50.0399,-4.14605e-20,4.83355e-20,8.4e-17
3.74523e-26,36214.9,50.7265,-4.14605e-20,4.83355e-20,8.4e-17
3.79066e-26,36214.9,51.3419,-4.14605e-20,4.83355e-20,8.4e-17
3.85697e-26,36214.9,52.24,-4.14605e-20,4.83355e-20,8.4e-17
3.92518e-26,36214.9,53.164,-4.14605e-20,4.83355e-20,8.4e-17
3.96526e-26,36214.9,53.7068,-4.14605e-20,4.83355e-20,8.4e-17
3.98009e-26,36214.9,53.9076,-4.14605e-20,4.83355e-20,8.4e-17
4.01613e-26,36214.9,54.3958,-4.14605e-20,4.83355e-20,8.4e-17
4.05824e-26,36214.9,54.9661,-4.14605e-20,4.83355e-20,8.4e-17
4.08438e-26,36214.9,55.3202,-4.14605e-20,4.83355e-20,8.4e-17
4.1257e-26,36214.9,55.8798,-4.14605e-20,4.83355e-20,8.4e-17
4.2591e-26,36214.9,57.6867,-4.14605e-20,4.83355e-20,8.4e-17
4.28972e-26,36214.9,58.1014,-4.14605e-20,4.83355e-20,8.4e-17
4.33332e-26,36214.9,58.6919,-4.14605e-20,4.83355e-20,8.4e-17
4.40369e-26,36214.9,59.6449,-4.14605e-20,4.83355e-20,8.4e-17
4.46591e-26,36214.9,60.4877,-4.14605e-20,4.83355e-20,8.4e-17
4.50406e-26,36214.9,61.0045,-4.14605e-20,4.83355e-20,8.4e-17
4.5716e-26,36214.9,61.9192,-4.14605e-20,4.83355e-20,8.4e-17
4.65025e-26,36214.9,62.9844,-4.14605e-20,4.83355e-20,8.4e-17
4.71009e-26,36214.9,63.795,-4.14605e-20,4.83355e-20,8.4e-17
4.73517e-26,36214.9,64.1346,-4.14605e-20,4.83355e-20,8.4e-17
4.77662e-26,36214.9,64.6961,-4.14605e-20,4.83355e-20,8.4e-17
4.84354e-26,36214.9,65.6025,-4.14605e-20,4.83355e-20,8.4e-17
4.86998e-26,36214.9,65.9607,-4.14605e-20,4.83355e-20,8.4e-17
4.9197e-26,36214.9,66.6339,-4.14605e-20,4.83355e-20,8.4e-17
4.98134e-26,36214.9,67.4689,-4.14605e-20,4.83355e-20,8.4e-17
5.03453e-26,36214.9,68.1893,-4.14605e-20,4.83355e-20,8.4e-17
5.10568e-26,36214.9,69.1529,-4.14605e-20,4.83355e-20,8.4e-17
5.15167e-26,36214.9,69.7759,-4.14605e-20,4.83355e-20,8.4e-17
5.22351e-26,36214.9,70.7489,-4.14605e-20,4.83355e-20,8.4e-17
5.2635e-26,36214.9,71.2905,-4.14605e-20,4.83355e-20,8.4e-17
5.2878e-26,36214.9,71.6197,-4.14605e-20,4.83355e-20,8.4e-17
5.31174e-26,36214.9,71.9439,-4.14605e-20,4.83355e-20,8.4e-17
5.32598e-26,36214.9,72.1368,-4.14605e-20,4.83355e-20,8.4e-17
5.39754e-26,36214.9,73.106,-4.14605e-20,4.83355e-20,8.4e-17
5.49042e-26,36214.9,74.364,-4.14605e-20,4.83355e-20,8.4e-17
5.52969e-26,36214.9,74.8959,-4.14605e-20,4.83355e-20,8.4e-17
5.60492e-26,36214.9,75.9149,-4.14605e-20,4.83355e-20,8.4e-17
5.66265e-26,36214.9,76.6967,-4.14605e-20,4.83355e-20,8.4e-17
5.69553e-26,36214.9,77.1422,-4.14605e-20,4.83355e-20,8.4e-17
5.71946e-26,36214.9,77.4662,-4.14605e-20,4.83355e-20,8.4e-17
5.74873e-26,36214.9,77.8627,-4.14605e-20,4.83355e-20,8.4e-17
5.83809e-26,36214.9,79.073,-4.14605e-20,4.83355e-20,8.4e-17
5.93354e-26,36214.9,80.3658,-4.14605e-20,4.83355e-20,8.4e-17
5.978e-26,36214.9,80.968,-4.14605e-20,4.83355e-20,8.4e-17
6.06575e-26,36214.9,82.1565,-4.14605e-20,4.83355e-20,8.4e-17
6.13046e-26,36214.9,83.0329,-4.14605e-20,4.83355e-20,8.4e-17
6.20699e-26,36214.9,84.0694,-4.14605e-20,4.83355e-20,8.4e-17
6.2201e-26,36214.9,84.247,-4.14605e-20,4.83355e-20,8.4e-17
6.24778e-26,36214.9,84.6219,-4.14605e-20,4.83355e-20,8.4e-17
6.30316e-26,36214.9,85.372,-4.14605e-20,4.83355e-20,8.4e-17
6.31489e-26,36214.9,85.5309,-4.14605e-20,4.83355e-20,8.4e-17
6.36954e-26,36214.9,86.271,-4.14605e-20,4.83355e-20,8.4e-17
6.39933e-26,36214.9,86.6746,-4.14605e-20,4.83355e-20,8.4e-17
6.50297e-26,36214.9,88.0783,-4.14605e-20,4.83355e-20,8.4e-17
6.5491e-26,36214.9,88.7031,-4.14605e-20,4.83355e-20,8.4e-17
6.62718e-26,36214.9,89.7606,-4.14605e-20,4.83355e-20,8.4e-17
6.64343e-26,36214.9,89.9807,-4.14605e-20,4.83355e-20,8.4e-17
6.70716e-26,36214.9,90.844,-4.14605e-20,4.83355e-20,8.4e-17
6.74498e-26,36214.9,91.3562,-4.14605e-20,4.83355e-20,8.4e-17
6.79243e-26,36214.9,91.9988,-4.14605e-20,4.83355e-20,8.4e-17
6.81966e-26,36214.9,92.3677,-4.14605e-20,4.83355e-20,8.4e-17
6.85735e-26,36214.9,92.8782,-4.14605e-20,4.83355e-20,8.4e-17
6.95079e-26,36214.9,94.1437,-4.14605e-20,4.83355e-20,8.4e-17
7.02848e-26,36214.9,95.1961,-4.14605e-20,4.83355e-20,8.4e-17
7.08265e-26,36214.9,95.9297,-4.14605e-20,4.83355e-20,8.4e-17
7.17673e-26,36214.9,97.2039,-4.14605e-20,4.83355e-20,8.4e-17
7.202e-26,36214.9,97.5462,-4.14605e-20,4.83355e-20,8.4e-17
7.28439e-26,36214.9,98.6621,-4.14605e-20,4.83355e-20,8.4e-17
7.30064e-26,36214.9,98.8822,-4.14605e-20,4.83355e-20,8.4e-17
7.31668e-26,36214.9,99.0995,-4.14605e-20,4.83355e-20,8.4e-17
7.34675e-26,36214.9,99.5067,-4.14605e-20,4.83355e-20,8.4e-17
7.39358e-26,36214.9,100.141,-4.14605e-20,4.83355e-20,8.4e-17
7.46101e-26,36214.9,101.054,-4.14605e-20,4.83355e-20,8.4e-17
7.56918e-26,36214.9,102.519,-4.14605e-20,4.83355e-20,8.4e-17
7.58571e-26,36214.9,102.743,-4.14605e-20,4.83355e-20,8.4e-17
7.62944e-26,36214.9,103.336,-4.14605e-20,4.83355e-20,8.4e-17
7.68164e-26,36214.9,104.043,-4.14605e-20,4.83355e-20,8.4e-17
7.69462e-26,36214.9,104.218,-4.14605e-20,4.83355e-20,8.4e-17
7.75327e-26,36214.9,105.013,-4.14605e-20,4.83355e-20,8.4e-17
7.84322e-26,36214.9,106.231,-4.14605e-20,4.83355e-20,8.4e-17
7.88595e-26,36214.9,106.81,-4.14605e-20,4.83355e-20,8.4e-17
7.92066e-26,36214.9,107.28,-4.14605e-20,4.83355e-20,8.4e-17
7.95019e-26,36214.9,107.68,-4.14605e-20,4.83355e-20,8.4e-17
8.01182e-26,36214.9,108.515,-4.14605e-20,4.83355e-20,8.4e-17
8.05879e-26,36214.9,109.151,-4.14605e-20,4.83355e-20,8.4e-17
8.09608e-26,36214.9,109.656,-4.14605e-20,4.83355e-20,8.4e-17
8.15749e-26,36214.9,110.488,-4.14605e-20,4.83355e-20,8.4e-17
8.21785e-26,36214.9,111.305,-4.14605e-20,4.83355e-20,8.4e-17
8.2779e-26,36214.9,112.118,-4.14605e-20,4.83355e-20,8.4e-17
8.4036e-26,36214.9,113.821,-4.14605e-20,4.83355e-20,8.4e-17
8.46655e-26,36214.9,114.674,-4.14605e-20,4.83355e-20,8.4e-17
8.48111e-26,36214.9,114.871,-4.14605e-20,4.83355e-20,8.4e-17
8.58867e-26,36214.9,116.328,-4.14605e-20,4.83355e-20,8.4e-17
8.59984e-26,36214.9,116.479,-4.14605e-20,4.83355e-20,8.4e-17
8.62834e-26,36214.9,116.865,-4.14605e-20,4.83355e-20,8.4e-17
8.70563e-26,36214.9,117.912,-4.14605e-20,4.83355e-20,8.4e-17
8.77805e-26,36214.9,118.893,-4.14605e-20,4.83355e-20,8.4e-17
8.79204e-26,36214.9,119.082,-4.14605e-20,4.83355e-20,8.4e-17
8.83462e-26,36214.9,119.659,-4.14605e-20,4.83355e-20,8.4e-17
8.92586e-26,36214.9,120.895,-4.14605e-20,4.83355e-20,8.4e-17
8.98043e-26,36214.9,121.634,-4.14605e-20,4.83355e-20,8.4e-17
9.01349e-26,36214.9,122.082,-4.14605e-20,4.83355e-20,8.4e-17
9.05339e-26,36214.9,122.622,-4.14605e-20,4.83355e-20,8.4e-17
9.13578e-26,36214.9,123.738,-4.14605e-20,4.83355e-20,8.4e-17
9.1439e-26,36214.9,123.848,-4.14605e-20,4.83355e-20,8.4e-17
9.24968e-26,36214.9,125.281,-4.14605e-20,4.83355e-20,8.4e-17
9.27989e-26,36214.9,125.69,-4.14605e-20,4.83355e-20,8.4e-17
9.31602e-26,36214.9,126.179,-4.14605e-20,4.83355e-20,8.4e-17
9.3603e-26,36214.9,126.779,-4.14605e-20,4.83355e-20,8.4e-17
9.39423e-26,36214.9,127.238,-4.14605e-20,4.83355e-20,8.4e-17
9.4497e-26,36214.9,127.99,-4.14605e-20,4.83355e-20,8.4e-17
9.52085e-26,36214.9,128.953,-4.14605e-20,4.83355e-20,8.4e-17
9.57838e-26,36214.9,129.733,-4.14605e-20,4.83355e-20,8.4e-17
9.60283e-26,36214.9,130.064,-4.14605e-20,4.83355e-20,8.4e-17
9.69473e-26,36214.9,131.309,-4.14605e-20,4.83355e-20,8.4e-17
9.75969e-26,36214.9,132.188,-4.14605e-20,4.83355e-20,8.4e-17
9.79514e-26,36214.9,132.669,-4.14605e-20,4.83355e-20,8.4e-17
9.83808e-26,36214.9,133.25,-4.14605e-20,4.83355e-20,8.4e-17
9.87337e-26,36214.9,133.728,-4.14605e-20,4.83355e-20,8.4e-17
9.97528e-26,36214.9,135.108,-4.14605e-20,4.83355e-20,8.4e-17
1.00089e-25,36214.9,135.564,-4.14605e-20,4.83355e-20,8.4e-17
1.0041e-25,36214.9,135.999,-4.14605e-20,4.83355e-20,8.4e-17
1.00492e-25,36214.9,136.11,-4.14605e-20,4.83355e-20,8.4e-17
1.00898e-25,36214.9,136.659,-4.14605e-20,4.83355e-20,8.4e-17
1.01512e-25,36214.9,137.491,-4.14605e-20,4.83355e-20,8.4e-17
1.01864e-25,36214.9,137.968,-4.14605e-20,4.83355e-20,8.4e-17
1.02961e-25,36214.9,139.454,-4.14605e-20,4.83355e-20,8.4e-17
1.03472e-25,36214.9,140.146,-4.14605e-20,4.83355e-20,8.4e-17
1.03771e-25,36214.9,140.551,-4.14605e-20,4.83355e-20,8.4e-17
1.04234e-25,36214.9,141.178,-4.14605e-20,4.83355e-20,8.4e-17
1.04643e-25,36214.9,141.731,-4.14605e-20,4.83355e-20,8.4e-17
1.05431e-25,36214.9,142.799,-4.14605e-20,4.83355e-20,8.4e-17
1.06029e-25,36214.9,143.609,-4.14605e-20,4.83355e-20,8.4e-17
1.06776e-25,36214.9,144.62,-4.14605e-20,4.83355e-20,8.4e-17
1.07329e-25,36214.9,145.37,-4.14605e-20,4.83355e-20,8.4e-17
1.08173e-25,36214.9,146.513,-4.14605e-20,4.83355e-20,8.4e-17
